"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","933","948","220","29","355","Dextral"
"2","147","930","127","25","9","Sinistral"
"3","616","928","121","24","355","Sinistral"
"4","803","799","146","26","9","Sinistral"
"5","319","792","183","28","4","Sinistral"
"6","516","770","152","26","333","Dextral"
"7","148","742","150","26","356","Dextral"
"8","779","608","144","26","358","Dextral"
"9","390","595","159","27","341","Sinistral"
"10","80","504","164","27","9","Sinistral"
"11","624","455","108","24","8","Dextral"
"12","268","349","132","25","8","Dextral"
"13","870","328","169","27","349","Sinistral"
"14","443","284","227","29","25","Sinistral"
"15","76","270","164","27","2","Dextral"
"16","657","267","143","26","341","Dextral"
"17","388","116","189","28","341","Dextral"
"18","553","39","179","27","16","Dextral"
"19","221","38","112","24","345","Sinistral"
"20","828","34","150","26","2","Dextral"
