"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","399","949","172","27","15","Sinistral"
"2","132","941","162","27","360","Sinistral"
"3","604","926","215","29","3","Dextral"
"4","886","921","202","28","8","Dextral"
"5","250","811","147","26","358","Sinistral"
"6","767","767","185","28","4","Sinistral"
"7","45","762","192","28","348","Dextral"
"8","466","694","152","26","351","Sinistral"
"9","224","628","164","27","9","Dextral"
"10","927","612","191","28","3","Sinistral"
"11","663","607","105","23","351","Dextral"
"12","508","463","164","27","350","Dextral"
"13","166","438","165","27","350","Dextral"
"14","342","386","143","26","12","Dextral"
"15","938","351","140","26","20","Sinistral"
"16","82","265","213","29","5","Dextral"
"17","761","250","159","27","6","Sinistral"
"18","499","138","125","25","353","Dextral"
"19","240","121","123","25","10","Sinistral"
"20","789","53","158","26","3","Sinistral"
