"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","631","945","132","25","2","Sinistral"
"2","284","937","188","28","8","Sinistral"
"3","45","890","188","28","15","Dextral"
"4","451","858","244","30","12","Sinistral"
"5","803","851","153","26","20","Dextral"
"6","592","749","184","28","356","Sinistral"
"7","206","702","128","25","4","Sinistral"
"8","784","604","110","24","21","Sinistral"
"9","378","564","198","28","355","Sinistral"
"10","620","525","208","29","359","Sinistral"
"11","934","467","212","29","3","Dextral"
"12","158","420","181","28","8","Dextral"
"13","546","354","103","23","16","Dextral"
"14","899","283","110","24","347","Dextral"
"15","366","241","149","26","6","Dextral"
"16","701","235","158","26","15","Sinistral"
"17","70","193","154","26","350","Dextral"
"18","948","71","158","26","5","Dextral"
"19","433","57","175","27","339","Dextral"
"20","209","41","172","27","353","Sinistral"
