"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","371","942","170","27","25","Sinistral"
"2","883","918","144","26","336","Sinistral"
"3","646","854","164","27","12","Dextral"
"4","168","845","188","28","5","Sinistral"
"5","422","765","163","27","346","Sinistral"
"6","944","687","162","27","1","Dextral"
"7","653","674","141","26","340","Sinistral"
"8","165","650","130","25","355","Dextral"
"9","484","570","176","27","355","Sinistral"
"10","927","489","213","29","357","Dextral"
"11","741","475","113","24","355","Dextral"
"12","45","431","171","27","354","Sinistral"
"13","356","416","106","23","0","Dextral"
"14","582","321","143","26","354","Sinistral"
"15","846","261","147","26","357","Sinistral"
"16","320","224","200","28","20","Dextral"
"17","83","183","150","26","13","Dextral"
"18","755","102","142","26","352","Dextral"
"19","299","35","155","26","11","Sinistral"
"20","522","30","197","28","10","Dextral"
