"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","891","919","184","28","24","Sinistral"
"2","448","915","152","26","6","Sinistral"
"3","83","903","166","27","6","Dextral"
"4","264","891","168","27","1","Dextral"
"5","708","809","198","28","24","Sinistral"
"6","262","715","152","26","359","Sinistral"
"7","908","699","190","28","7","Dextral"
"8","542","680","203","28","22","Dextral"
"9","720","610","127","25","12","Sinistral"
"10","388","578","125","25","12","Sinistral"
"11","177","528","89","22","17","Dextral"
"12","545","410","145","26","353","Sinistral"
"13","812","393","113","24","10","Sinistral"
"14","372","291","144","26","9","Sinistral"
"15","36","251","126","25","17","Dextral"
"16","905","243","213","29","29","Dextral"
"17","716","178","114","24","355","Sinistral"
"18","253","107","149","26","358","Sinistral"
"19","525","46","194","28","352","Sinistral"
"20","889","30","184","28","2","Dextral"
