"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","680","907","145","26","8","Dextral"
"2","191","879","165","27","5","Dextral"
"3","516","824","142","26","342","Dextral"
"4","339","771","143","26","15","Dextral"
"5","52","746","177","27","13","Sinistral"
"6","661","695","171","27","334","Dextral"
"7","865","687","143","26","358","Dextral"
"8","32","569","175","27","348","Sinistral"
"9","764","537","176","27","353","Dextral"
"10","354","527","124","25","15","Dextral"
"11","600","474","162","27","8","Dextral"
"12","885","400","97","23","359","Dextral"
"13","88","388","144","26","347","Sinistral"
"14","251","288","94","23","6","Sinistral"
"15","547","244","190","28","357","Sinistral"
"16","86","201","205","28","352","Dextral"
"17","701","128","134","25","8","Sinistral"
"18","894","54","128","25","347","Sinistral"
"19","225","49","174","27","352","Dextral"
"20","458","27","163","27","21","Sinistral"
