"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","940","941","192","28","28","Dextral"
"2","365","935","203","28","349","Sinistral"
"3","729","925","184","28","355","Dextral"
"4","194","885","143","26","1","Dextral"
"5","527","842","136","25","6","Sinistral"
"6","854","755","138","25","338","Sinistral"
"7","310","744","162","27","346","Sinistral"
"8","30","743","200","28","359","Dextral"
"9","678","741","259","30","40","Dextral"
"10","668","563","177","27","360","Dextral"
"11","109","561","137","25","343","Dextral"
"12","474","547","107","24","2","Dextral"
"13","917","402","97","23","359","Dextral"
"14","359","389","185","28","357","Sinistral"
"15","151","350","144","26","14","Dextral"
"16","601","312","156","26","350","Dextral"
"17","306","219","118","24","7","Dextral"
"18","128","122","152","26","346","Sinistral"
"19","850","119","123","25","14","Sinistral"
"20","567","112","181","28","21","Sinistral"
