"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","720","921","136","25","18","Sinistral"
"2","26","917","154","26","356","Dextral"
"3","324","901","151","26","4","Sinistral"
"4","898","873","186","28","14","Dextral"
"5","499","837","121","24","21","Sinistral"
"6","618","690","177","27","347","Sinistral"
"7","815","680","146","26","10","Dextral"
"8","353","660","153","26","355","Dextral"
"9","41","636","142","26","359","Dextral"
"10","554","511","152","26","15","Sinistral"
"11","293","475","182","28","352","Dextral"
"12","112","448","171","27","352","Sinistral"
"13","746","426","104","23","1","Dextral"
"14","229","266","146","26","358","Sinistral"
"15","35","185","136","25","357","Dextral"
"16","507","159","148","26","10","Dextral"
"17","717","97","159","27","354","Dextral"
"18","926","90","173","27","5","Sinistral"
"19","347","71","192","28","5","Dextral"
"20","168","38","160","27","352","Sinistral"
