"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","333","928","188","28","358","Dextral"
"2","116","876","190","28","357","Sinistral"
"3","848","851","163","27","345","Sinistral"
"4","482","813","174","27","20","Sinistral"
"5","815","669","153","26","359","Sinistral"
"6","203","653","167","27","338","Dextral"
"7","553","594","148","26","353","Dextral"
"8","335","521","175","27","343","Sinistral"
"9","896","507","111","24","339","Dextral"
"10","65","468","218","29","359","Sinistral"
"11","486","431","145","26","346","Dextral"
"12","727","386","215","29","5","Sinistral"
"13","239","372","203","28","6","Sinistral"
"14","942","302","99","23","345","Sinistral"
"15","47","286","129","25","7","Sinistral"
"16","487","236","174","27","338","Sinistral"
"17","795","194","180","28","16","Sinistral"
"18","286","182","155","26","338","Sinistral"
"19","560","72","174","27","8","Dextral"
"20","147","42","183","28","352","Sinistral"
