"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","839","945","138","25","346","Sinistral"
"2","501","902","150","26","353","Dextral"
"3","86","846","183","28","342","Dextral"
"4","312","831","130","25","6","Dextral"
"5","562","732","134","25","23","Sinistral"
"6","743","719","159","27","356","Dextral"
"7","902","635","148","26","13","Sinistral"
"8","85","541","172","27","359","Dextral"
"9","570","540","166","27","350","Dextral"
"10","759","527","186","28","326","Dextral"
"11","276","522","177","27","2","Sinistral"
"12","676","345","212","29","359","Sinistral"
"13","116","330","122","25","353","Sinistral"
"14","359","327","127","25","348","Sinistral"
"15","862","259","132","25","355","Sinistral"
"16","525","185","158","27","3","Dextral"
"17","221","176","147","26","354","Dextral"
"18","26","78","182","28","8","Sinistral"
"19","394","66","184","28","8","Sinistral"
"20","693","65","212","29","3","Dextral"
