"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","372","940","135","25","325","Sinistral"
"2","167","938","172","27","357","Sinistral"
"3","804","917","165","27","351","Sinistral"
"4","565","897","159","27","5","Sinistral"
"5","121","760","208","29","360","Dextral"
"6","923","706","224","29","337","Dextral"
"7","537","690","131","25","1","Dextral"
"8","706","588","137","25","4","Dextral"
"9","337","584","158","26","355","Sinistral"
"10","81","570","169","27","329","Sinistral"
"11","877","509","163","27","349","Dextral"
"12","71","383","206","29","7","Sinistral"
"13","439","364","249","30","356","Sinistral"
"14","646","329","138","25","20","Sinistral"
"15","253","305","132","25","17","Dextral"
"16","525","201","129","25","351","Dextral"
"17","715","163","161","27","10","Dextral"
"18","898","152","185","28","349","Sinistral"
"19","182","59","166","27","360","Dextral"
"20","450","39","188","28","349","Dextral"
