"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","676","948","117","24","5","Sinistral"
"2","382","880","160","27","337","Dextral"
"3","941","871","144","26","20","Sinistral"
"4","782","761","167","27","6","Dextral"
"5","544","760","146","26","345","Dextral"
"6","201","729","155","26","12","Dextral"
"7","385","669","161","27","343","Dextral"
"8","696","604","177","27","347","Dextral"
"9","82","594","189","28","358","Sinistral"
"10","913","547","206","29","350","Sinistral"
"11","477","515","159","27","349","Dextral"
"12","757","437","124","25","5","Sinistral"
"13","76","390","151","26","347","Dextral"
"14","359","372","149","26","12","Sinistral"
"15","852","281","173","27","7","Sinistral"
"16","484","187","161","27","350","Dextral"
"17","673","159","157","26","341","Dextral"
"18","70","124","170","27","342","Dextral"
"19","274","77","153","26","7","Dextral"
"20","902","28","172","27","358","Dextral"
