"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","948","948","149","26","1","Sinistral"
"2","199","920","128","25","13","Dextral"
"3","522","916","196","28","341","Dextral"
"4","691","817","165","27","342","Dextral"
"5","56","812","167","27","360","Sinistral"
"6","342","701","163","27","358","Sinistral"
"7","103","638","159","27","14","Sinistral"
"8","943","638","147","26","345","Sinistral"
"9","624","535","118","24","359","Sinistral"
"10","341","467","155","26","5","Sinistral"
"11","788","414","197","28","351","Dextral"
"12","500","393","160","27","347","Dextral"
"13","207","353","213","29","8","Sinistral"
"14","940","323","152","26","17","Dextral"
"15","45","284","207","29","4","Sinistral"
"16","579","218","182","28","349","Dextral"
"17","231","166","183","28","349","Dextral"
"18","936","126","153","26","355","Sinistral"
"19","442","58","152","26","20","Dextral"
"20","660","40","212","29","9","Dextral"
