"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","98","913","150","26","356","Sinistral"
"2","456","911","103","23","12","Dextral"
"3","767","905","189","28","342","Dextral"
"4","879","764","156","26","347","Dextral"
"5","267","732","194","28","11","Sinistral"
"6","45","717","176","27","1","Sinistral"
"7","559","651","173","27","350","Dextral"
"8","103","536","159","27","359","Sinistral"
"9","379","504","135","25","351","Dextral"
"10","914","491","212","29","340","Dextral"
"11","723","441","105","23","6","Dextral"
"12","538","400","188","28","5","Dextral"
"13","55","348","178","27","7","Dextral"
"14","267","311","206","29","357","Dextral"
"15","950","261","153","26","345","Dextral"
"16","133","176","132","25","10","Dextral"
"17","535","164","175","27","347","Sinistral"
"18","354","138","176","27","354","Sinistral"
"19","829","132","141","26","5","Sinistral"
"20","681","27","194","28","353","Dextral"
