"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","895","923","166","27","12","Dextral"
"2","715","922","173","27","340","Sinistral"
"3","481","887","161","27","335","Dextral"
"4","213","826","147","26","7","Sinistral"
"5","518","699","230","29","350","Sinistral"
"6","932","655","113","24","356","Dextral"
"7","682","619","134","25","356","Dextral"
"8","342","583","146","26","17","Dextral"
"9","39","572","163","27","15","Sinistral"
"10","611","447","140","26","23","Dextral"
"11","949","433","218","29","359","Dextral"
"12","100","362","148","26","1","Dextral"
"13","791","323","204","28","343","Dextral"
"14","286","297","211","29","357","Sinistral"
"15","627","232","196","28","6","Dextral"
"16","937","203","200","28","2","Sinistral"
"17","454","151","141","26","14","Sinistral"
"18","128","61","151","26","353","Sinistral"
"19","602","42","227","29","357","Dextral"
"20","876","34","171","27","346","Dextral"
