"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","145","947","190","28","346","Sinistral"
"2","668","921","125","25","9","Sinistral"
"3","843","902","180","27","3","Dextral"
"4","381","890","129","25","356","Dextral"
"5","87","762","130","25","350","Sinistral"
"6","747","746","148","26","7","Sinistral"
"7","890","623","165","27","10","Sinistral"
"8","271","599","111","24","359","Dextral"
"9","496","560","141","26","337","Dextral"
"10","45","557","152","26","354","Dextral"
"11","682","527","183","28","33","Sinistral"
"12","179","405","210","29","358","Sinistral"
"13","421","358","122","25","347","Dextral"
"14","776","344","139","26","8","Sinistral"
"15","259","229","170","27","349","Sinistral"
"16","61","188","179","27","346","Dextral"
"17","927","147","156","26","4","Sinistral"
"18","431","94","234","29","353","Dextral"
"19","727","85","143","26","346","Dextral"
"20","191","46","236","30","24","Sinistral"
