"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","130","916","176","27","354","Sinistral"
"2","879","912","178","27","8","Dextral"
"3","345","842","182","28","33","Sinistral"
"4","570","794","166","27","7","Sinistral"
"5","747","791","143","26","359","Sinistral"
"6","458","648","164","27","3","Sinistral"
"7","854","631","146","26","343","Sinistral"
"8","118","625","100","23","7","Dextral"
"9","678","614","246","30","344","Sinistral"
"10","486","452","167","27","28","Dextral"
"11","664","439","185","28","334","Sinistral"
"12","210","431","128","25","353","Dextral"
"13","927","368","168","27","18","Dextral"
"14","36","302","151","26","18","Sinistral"
"15","699","266","134","25","359","Dextral"
"16","286","200","149","26","354","Dextral"
"17","582","121","126","25","4","Dextral"
"18","920","64","201","28","356","Sinistral"
"19","134","57","187","28","17","Sinistral"
"20","409","53","210","29","346","Dextral"
