"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","496","927","212","29","16","Sinistral"
"2","672","917","166","27","7","Sinistral"
"3","297","899","192","28","350","Dextral"
"4","887","886","179","27","0","Dextral"
"5","32","869","153","26","332","Dextral"
"6","433","716","143","26","351","Sinistral"
"7","906","643","185","28","349","Sinistral"
"8","613","642","167","27","2","Sinistral"
"9","156","642","121","24","11","Sinistral"
"10","540","476","148","26","355","Sinistral"
"11","740","446","150","26","348","Sinistral"
"12","176","370","154","26","356","Sinistral"
"13","355","370","97","23","348","Dextral"
"14","919","363","207","29","6","Dextral"
"15","643","238","144","26","6","Dextral"
"16","36","222","129","25","351","Dextral"
"17","923","155","127","25","351","Sinistral"
"18","338","100","166","27","351","Sinistral"
"19","131","37","206","29","353","Sinistral"
"20","614","31","157","26","341","Sinistral"
