"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","830","946","187","28","355","Sinistral"
"2","42","890","195","28","355","Sinistral"
"3","481","875","168","27","25","Dextral"
"4","227","853","115","24","341","Dextral"
"5","636","788","122","25","7","Sinistral"
"6","116","713","161","27","15","Dextral"
"7","307","694","212","29","2","Dextral"
"8","853","690","133","25","16","Sinistral"
"9","530","632","140","26","335","Dextral"
"10","288","510","164","27","337","Dextral"
"11","718","493","148","26","13","Sinistral"
"12","927","473","191","28","6","Dextral"
"13","100","451","123","25","359","Dextral"
"14","473","420","167","27","4","Sinistral"
"15","316","296","110","24","351","Sinistral"
"16","804","251","185","28","22","Dextral"
"17","530","212","134","25","12","Dextral"
"18","99","197","177","27","6","Sinistral"
"19","920","36","199","28","1","Sinistral"
"20","728","29","171","27","19","Sinistral"
