"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","474","821","82","21","120","Sinistral"
"2","703","808","73","21","34","Sinistral"
"3","371","775","63","19","34","Sinistral"
"4","609","756","79","21","237","Sinistral"
"5","281","745","167","27","266","Sinistral"
"6","85","700","109","24","86","Sinistral"
"7","588","638","75","21","250","Dextral"
"8","348","562","236","30","158","Dextral"
"9","325","465","161","27","75","Dextral"
"10","807","391","194","28","189","Dextral"
"11","743","377","176","27","293","Dextral"
"12","509","348","139","26","87","Sinistral"
"13","642","273","86","22","36","Sinistral"
"14","431","233","169","27","9","Sinistral"
"15","915","177","136","25","152","Dextral"
"16","36","176","111","24","12","Sinistral"
"17","458","109","201","28","163","Dextral"
"18","611","40","23","12","146","Sinistral"
"19","821","38","223","29","215","Dextral"
"20","655","33","157","26","113","Dextral"
