"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","673","946","92","22","152","Sinistral"
"2","687","864","124","25","160","Dextral"
"3","824","852","183","28","15","Sinistral"
"4","455","851","219","29","221","Dextral"
"5","861","821","149","26","302","Dextral"
"6","235","794","143","26","82","Dextral"
"7","245","771","96","23","251","Sinistral"
"8","357","739","92","22","294","Dextral"
"9","304","664","68","20","147","Dextral"
"10","85","663","246","30","127","Sinistral"
"11","639","641","109","24","224","Sinistral"
"12","242","595","63","20","144","Sinistral"
"13","939","438","86","22","79","Sinistral"
"14","947","374","118","24","329","Sinistral"
"15","808","361","225","29","351","Dextral"
"16","424","335","132","25","117","Dextral"
"17","866","261","131","25","41","Dextral"
"18","296","245","64","20","192","Sinistral"
"19","366","231","162","27","332","Sinistral"
"20","621","109","144","26","249","Dextral"
