"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","87","732","77","21","181","Dextral"
"2","210","671","68","20","195","Dextral"
"3","904","651","134","25","258","Sinistral"
"4","374","615","82","22","248","Sinistral"
"5","784","595","165","27","281","Dextral"
"6","712","586","140","26","342","Sinistral"
"7","249","558","151","26","148","Dextral"
"8","486","550","116","24","47","Sinistral"
"9","642","497","48","17","83","Sinistral"
"10","610","487","55","18","209","Sinistral"
"11","855","447","138","25","310","Sinistral"
"12","136","347","126","25","83","Sinistral"
"13","325","307","179","27","83","Sinistral"
"14","541","268","128","25","86","Dextral"
"15","527","227","52","18","283","Dextral"
"16","637","224","77","21","176","Sinistral"
"17","290","217","161","27","320","Dextral"
"18","715","186","177","27","357","Dextral"
"19","163","161","184","28","171","Dextral"
"20","344","87","116","24","134","Dextral"
