"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","296","944","164","27","26","Sinistral"
"2","584","893","164","27","44","Dextral"
"3","95","878","103","23","325","Dextral"
"4","429","852","69","20","196","Dextral"
"5","450","838","142","26","124","Sinistral"
"6","166","773","114","24","208","Dextral"
"7","606","733","69","20","231","Dextral"
"8","443","719","127","25","146","Dextral"
"9","139","717","152","26","24","Sinistral"
"10","842","672","151","26","67","Sinistral"
"11","87","660","99","23","206","Sinistral"
"12","671","652","104","23","63","Dextral"
"13","50","541","73","21","228","Sinistral"
"14","411","509","143","26","328","Dextral"
"15","559","449","110","24","253","Sinistral"
"16","878","393","122","24","297","Sinistral"
"17","790","223","156","26","175","Sinistral"
"18","448","201","95","23","23","Sinistral"
"19","795","122","103","23","292","Sinistral"
"20","907","40","198","28","92","Sinistral"
