"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","713","931","144","26","122","Dextral"
"2","926","926","97","23","250","Dextral"
"3","478","905","126","25","155","Dextral"
"4","866","880","105","23","10","Sinistral"
"5","223","837","86","22","324","Dextral"
"6","948","754","139","26","115","Sinistral"
"7","353","663","159","27","62","Dextral"
"8","640","596","25","12","350","Sinistral"
"9","170","578","198","28","113","Dextral"
"10","26","563","176","27","228","Dextral"
"11","385","555","115","24","327","Sinistral"
"12","771","447","69","20","56","Sinistral"
"13","563","316","137","25","91","Sinistral"
"14","538","256","97","23","288","Sinistral"
"15","866","248","134","25","280","Dextral"
"16","541","232","186","28","50","Dextral"
"17","46","219","126","25","322","Sinistral"
"18","447","192","68","20","64","Dextral"
"19","515","70","242","30","134","Sinistral"
"20","731","40","84","22","270","Dextral"
