"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","195","907","22","11","292","Dextral"
"2","624","863","155","26","312","Dextral"
"3","619","857","117","24","339","Sinistral"
"4","694","838","142","26","254","Sinistral"
"5","546","819","102","23","135","Sinistral"
"6","72","729","137","25","241","Sinistral"
"7","400","709","78","21","71","Sinistral"
"8","620","625","114","24","154","Dextral"
"9","879","612","66","20","179","Sinistral"
"10","87","602","134","25","267","Dextral"
"11","70","596","30","14","242","Dextral"
"12","661","586","115","24","101","Dextral"
"13","605","512","153","26","275","Sinistral"
"14","263","510","101","23","161","Dextral"
"15","833","458","116","24","255","Sinistral"
"16","374","166","108","24","317","Dextral"
"17","614","160","162","27","161","Sinistral"
"18","607","144","241","30","150","Dextral"
"19","379","104","43","17","113","Dextral"
"20","128","61","128","25","267","Dextral"
