"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","332","936","182","28","246","Sinistral"
"2","346","922","111","24","164","Dextral"
"3","181","878","210","29","216","Sinistral"
"4","233","621","155","26","194","Dextral"
"5","734","621","119","24","300","Sinistral"
"6","500","596","141","26","339","Sinistral"
"7","319","583","141","26","267","Sinistral"
"8","524","582","93","22","35","Dextral"
"9","143","562","193","28","297","Dextral"
"10","306","526","42","16","31","Sinistral"
"11","288","455","137","25","2","Dextral"
"12","727","437","141","26","64","Sinistral"
"13","891","412","148","26","336","Dextral"
"14","30","371","33","15","45","Sinistral"
"15","170","355","85","22","309","Dextral"
"16","695","238","159","27","2","Dextral"
"17","633","229","95","23","93","Dextral"
"18","856","200","164","27","67","Sinistral"
"19","663","160","73","21","324","Sinistral"
"20","869","159","50","18","210","Dextral"
