"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","387","912","99","23","73","Dextral"
"2","629","895","166","27","51","Sinistral"
"3","738","885","102","23","353","Sinistral"
"4","886","862","149","26","46","Sinistral"
"5","844","819","161","27","243","Dextral"
"6","902","806","99","23","152","Dextral"
"7","66","805","110","24","297","Sinistral"
"8","927","766","162","27","335","Sinistral"
"9","65","733","110","24","280","Dextral"
"10","690","718","181","28","289","Sinistral"
"11","424","701","154","26","265","Sinistral"
"12","375","622","195","28","126","Dextral"
"13","318","504","117","24","123","Dextral"
"14","57","485","139","25","106","Dextral"
"15","790","325","156","26","59","Dextral"
"16","908","322","134","25","164","Dextral"
"17","535","248","116","24","310","Sinistral"
"18","822","229","215","29","187","Dextral"
"19","885","176","148","26","294","Dextral"
"20","849","101","120","24","41","Sinistral"
