"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","456","888","185","28","2","Dextral"
"2","546","861","123","25","290","Dextral"
"3","89","845","162","27","87","Sinistral"
"4","94","821","112","24","267","Dextral"
"5","97","780","175","27","236","Sinistral"
"6","49","764","117","24","316","Dextral"
"7","502","734","93","22","65","Dextral"
"8","230","733","164","27","231","Sinistral"
"9","469","639","94","23","267","Dextral"
"10","263","628","157","26","19","Sinistral"
"11","36","504","81","21","253","Sinistral"
"12","702","485","210","29","126","Sinistral"
"13","525","478","132","25","278","Sinistral"
"14","532","445","148","26","295","Sinistral"
"15","396","440","117","24","24","Dextral"
"16","589","382","93","22","132","Sinistral"
"17","432","226","178","27","248","Dextral"
"18","114","222","119","24","183","Dextral"
"19","227","160","75","21","45","Sinistral"
"20","374","106","73","21","72","Dextral"
