"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","594","881","158","27","68","Dextral"
"2","779","815","139","26","125","Sinistral"
"3","589","646","78","21","73","Sinistral"
"4","487","624","197","28","338","Sinistral"
"5","169","587","98","23","242","Sinistral"
"6","605","573","127","25","340","Dextral"
"7","571","518","133","25","74","Sinistral"
"8","561","506","136","25","179","Dextral"
"9","83","463","28","13","71","Sinistral"
"10","651","433","80","21","357","Sinistral"
"11","946","393","105","23","168","Dextral"
"12","864","382","149","26","166","Sinistral"
"13","273","290","175","27","268","Sinistral"
"14","852","259","120","24","3","Sinistral"
"15","244","247","76","21","98","Sinistral"
"16","145","233","207","29","196","Sinistral"
"17","278","199","190","28","201","Sinistral"
"18","753","142","82","22","303","Dextral"
"19","355","134","146","26","133","Sinistral"
"20","108","26","155","26","261","Dextral"
