"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","470","937","81","21","24","Sinistral"
"2","616","911","219","29","90","Sinistral"
"3","162","847","158","27","72","Dextral"
"4","830","844","113","24","45","Dextral"
"5","62","782","128","25","28","Dextral"
"6","412","675","130","25","161","Dextral"
"7","672","611","89","22","96","Sinistral"
"8","845","555","162","27","218","Sinistral"
"9","342","530","174","27","326","Sinistral"
"10","832","518","225","29","177","Sinistral"
"11","660","498","172","27","129","Sinistral"
"12","542","491","141","26","247","Dextral"
"13","792","448","115","24","40","Sinistral"
"14","437","324","127","25","331","Sinistral"
"15","86","248","34","15","329","Dextral"
"16","451","245","181","28","199","Sinistral"
"17","632","138","120","24","62","Sinistral"
"18","398","60","104","23","70","Sinistral"
"19","280","48","83","22","294","Dextral"
"20","294","39","117","24","220","Dextral"
