"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","164","917","182","28","280","Sinistral"
"2","77","912","107","24","336","Dextral"
"3","720","859","109","24","124","Dextral"
"4","54","701","115","24","203","Sinistral"
"5","270","696","170","27","260","Sinistral"
"6","294","666","159","27","341","Dextral"
"7","327","621","126","25","5","Dextral"
"8","604","609","129","25","152","Dextral"
"9","763","589","138","25","140","Dextral"
"10","872","579","95","23","158","Dextral"
"11","532","568","161","27","229","Dextral"
"12","300","551","144","26","184","Dextral"
"13","610","527","148","26","142","Dextral"
"14","727","480","105","23","345","Sinistral"
"15","66","466","129","25","293","Sinistral"
"16","98","428","102","23","77","Sinistral"
"17","384","408","120","24","57","Sinistral"
"18","529","300","123","25","286","Sinistral"
"19","561","198","111","24","102","Dextral"
"20","104","137","133","25","329","Sinistral"
