"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","907","940","89","22","149","Sinistral"
"2","658","904","103","23","278","Dextral"
"3","281","807","138","25","201","Dextral"
"4","274","760","174","27","22","Sinistral"
"5","824","750","129","25","206","Sinistral"
"6","240","699","133","25","8","Dextral"
"7","731","656","103","23","303","Sinistral"
"8","683","639","139","26","300","Dextral"
"9","687","585","159","27","321","Sinistral"
"10","743","541","97","23","101","Sinistral"
"11","836","490","67","20","116","Dextral"
"12","97","485","134","25","183","Dextral"
"13","583","480","106","23","147","Dextral"
"14","593","457","137","25","3","Dextral"
"15","611","407","166","27","57","Sinistral"
"16","733","289","177","27","348","Dextral"
"17","469","256","104","23","76","Sinistral"
"18","529","170","99","23","307","Sinistral"
"19","379","107","230","29","1","Dextral"
"20","219","102","194","28","315","Dextral"
