"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","481","912","61","19","166","Dextral"
"2","703","905","99","23","78","Dextral"
"3","56","894","143","26","97","Dextral"
"4","650","870","147","26","310","Dextral"
"5","710","823","139","26","265","Sinistral"
"6","299","784","120","24","59","Dextral"
"7","729","691","146","26","47","Sinistral"
"8","620","614","110","24","142","Sinistral"
"9","473","575","156","26","225","Dextral"
"10","814","399","83","22","310","Dextral"
"11","565","378","168","27","128","Dextral"
"12","322","367","245","30","290","Dextral"
"13","380","357","128","25","145","Sinistral"
"14","800","357","163","27","191","Dextral"
"15","521","345","143","26","194","Dextral"
"16","580","236","137","25","359","Dextral"
"17","178","191","189","28","279","Dextral"
"18","257","177","78","21","280","Dextral"
"19","666","75","118","24","101","Dextral"
"20","588","54","172","27","25","Sinistral"
