"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","880","943","94","23","106","Dextral"
"2","421","942","104","23","279","Dextral"
"3","433","911","43","17","22","Dextral"
"4","307","901","109","24","55","Sinistral"
"5","531","810","66","20","131","Dextral"
"6","737","801","141","26","90","Dextral"
"7","399","793","149","26","180","Dextral"
"8","645","789","111","24","191","Sinistral"
"9","440","765","160","27","221","Dextral"
"10","33","683","116","24","232","Dextral"
"11","423","543","136","25","99","Dextral"
"12","106","517","242","30","266","Sinistral"
"13","824","497","192","28","228","Sinistral"
"14","636","446","146","26","302","Dextral"
"15","628","425","133","25","284","Sinistral"
"16","386","378","149","26","219","Dextral"
"17","232","364","136","25","49","Dextral"
"18","99","246","52","18","194","Dextral"
"19","717","178","149","26","76","Sinistral"
"20","694","80","133","25","235","Dextral"
