"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","455","911","75","21","210","Dextral"
"2","715","775","109","24","160","Dextral"
"3","470","731","170","27","238","Dextral"
"4","436","723","169","27","193","Dextral"
"5","859","626","90","22","291","Sinistral"
"6","109","587","85","22","200","Sinistral"
"7","818","439","62","19","37","Dextral"
"8","550","400","84","22","42","Sinistral"
"9","670","396","141","26","244","Sinistral"
"10","539","288","145","26","200","Dextral"
"11","237","274","163","27","307","Dextral"
"12","567","264","97","23","234","Sinistral"
"13","104","240","112","24","77","Dextral"
"14","236","209","28","13","118","Sinistral"
"15","885","200","203","28","70","Sinistral"
"16","916","182","255","30","144","Sinistral"
"17","756","142","129","25","193","Sinistral"
"18","101","135","114","24","31","Sinistral"
"19","135","116","116","24","45","Dextral"
"20","285","60","107","24","121","Sinistral"
