"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","846","944","93","22","115","Dextral"
"2","66","777","125","25","301","Dextral"
"3","914","774","73","21","245","Dextral"
"4","109","623","156","26","228","Dextral"
"5","149","595","125","25","154","Dextral"
"6","345","590","213","29","49","Dextral"
"7","560","407","141","26","338","Sinistral"
"8","112","382","56","19","147","Sinistral"
"9","568","331","116","24","299","Dextral"
"10","231","327","184","28","350","Sinistral"
"11","247","316","184","28","176","Dextral"
"12","622","264","152","26","337","Dextral"
"13","214","253","136","25","155","Sinistral"
"14","273","222","101","23","86","Dextral"
"15","329","196","82","21","268","Sinistral"
"16","121","143","148","26","212","Sinistral"
"17","666","131","135","25","272","Sinistral"
"18","748","131","40","16","285","Dextral"
"19","928","57","151","26","172","Sinistral"
"20","796","28","135","25","61","Sinistral"
