"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","855","852","118","24","285","Sinistral"
"2","321","837","96","23","334","Dextral"
"3","189","810","150","26","270","Sinistral"
"4","615","693","208","29","51","Sinistral"
"5","626","674","133","25","113","Dextral"
"6","734","636","154","26","238","Dextral"
"7","58","632","123","25","59","Dextral"
"8","691","587","74","21","149","Dextral"
"9","85","558","156","26","318","Dextral"
"10","52","453","103","23","67","Dextral"
"11","441","327","84","22","351","Sinistral"
"12","634","253","153","26","295","Dextral"
"13","666","225","79","21","334","Sinistral"
"14","801","198","177","27","78","Sinistral"
"15","718","165","86","22","255","Dextral"
"16","946","152","133","25","226","Sinistral"
"17","135","148","66","20","147","Sinistral"
"18","604","115","105","23","83","Dextral"
"19","948","109","246","30","178","Sinistral"
"20","834","87","150","26","104","Dextral"
