"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","225","888","186","28","346","Dextral"
"2","533","833","130","25","332","Sinistral"
"3","610","805","152","26","312","Dextral"
"4","94","772","118","24","168","Dextral"
"5","432","758","176","27","184","Sinistral"
"6","531","688","131","25","102","Dextral"
"7","297","652","108","24","319","Dextral"
"8","290","597","89","22","338","Dextral"
"9","26","566","197","28","213","Sinistral"
"10","332","558","166","27","60","Dextral"
"11","67","527","87","22","81","Sinistral"
"12","195","496","159","27","184","Sinistral"
"13","345","391","164","27","351","Sinistral"
"14","795","370","118","24","97","Dextral"
"15","746","365","150","26","204","Dextral"
"16","565","314","105","23","129","Sinistral"
"17","666","247","174","27","93","Sinistral"
"18","372","207","169","27","326","Dextral"
"19","948","205","195","28","35","Dextral"
"20","562","69","128","25","323","Sinistral"
