"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","892","887","224","29","138","Dextral"
"2","685","841","110","24","271","Sinistral"
"3","30","835","81","21","79","Dextral"
"4","253","835","140","26","232","Dextral"
"5","942","827","120","24","78","Dextral"
"6","73","824","195","28","340","Dextral"
"7","586","643","34","15","145","Sinistral"
"8","365","601","147","26","302","Sinistral"
"9","644","506","118","24","252","Dextral"
"10","786","502","127","25","175","Dextral"
"11","825","489","95","23","196","Dextral"
"12","275","376","144","26","158","Dextral"
"13","941","345","150","26","300","Sinistral"
"14","739","343","119","24","88","Sinistral"
"15","639","320","81","21","330","Sinistral"
"16","724","311","193","28","43","Dextral"
"17","538","279","95","23","260","Sinistral"
"18","125","272","115","24","241","Sinistral"
"19","670","141","146","26","120","Dextral"
"20","383","39","99","23","14","Sinistral"
