"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","723","895","93","22","163","Sinistral"
"2","649","705","84","22","228","Dextral"
"3","67","671","170","27","264","Sinistral"
"4","937","656","59","19","20","Sinistral"
"5","685","628","145","26","274","Dextral"
"6","50","413","146","26","80","Dextral"
"7","558","389","155","26","176","Sinistral"
"8","192","376","141","26","7","Sinistral"
"9","184","362","189","28","42","Dextral"
"10","151","353","164","27","280","Sinistral"
"11","641","350","144","26","4","Sinistral"
"12","718","293","98","23","248","Dextral"
"13","726","292","72","20","164","Dextral"
"14","877","224","182","28","0","Dextral"
"15","294","180","128","25","61","Sinistral"
"16","306","110","95","23","181","Dextral"
"17","778","101","119","24","285","Sinistral"
"18","916","62","156","26","207","Dextral"
"19","710","44","154","26","174","Dextral"
"20","40","38","189","28","102","Dextral"
