"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","946","915","109","24","27","Sinistral"
"2","547","907","118","24","46","Sinistral"
"3","450","904","79","21","307","Sinistral"
"4","765","887","171","27","127","Dextral"
"5","66","793","85","22","122","Sinistral"
"6","189","687","145","26","300","Dextral"
"7","747","677","146","26","351","Sinistral"
"8","789","645","82","21","299","Sinistral"
"9","869","529","107","24","344","Sinistral"
"10","342","516","108","24","141","Sinistral"
"11","694","454","41","16","129","Sinistral"
"12","441","433","52","18","74","Sinistral"
"13","174","329","182","28","321","Dextral"
"14","146","292","93","22","166","Sinistral"
"15","669","280","96","23","285","Sinistral"
"16","44","253","159","27","300","Sinistral"
"17","553","233","131","25","107","Sinistral"
"18","222","115","187","28","245","Dextral"
"19","869","84","56","19","76","Sinistral"
"20","368","26","209","29","15","Sinistral"
