"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","92","904","171","27","116","Sinistral"
"2","927","818","72","21","97","Sinistral"
"3","58","812","114","24","241","Dextral"
"4","274","784","195","28","229","Sinistral"
"5","709","753","89","22","187","Dextral"
"6","136","724","82","21","238","Sinistral"
"7","769","596","171","27","26","Sinistral"
"8","758","592","128","25","210","Dextral"
"9","545","552","175","27","107","Sinistral"
"10","143","551","69","20","233","Sinistral"
"11","526","533","164","27","49","Sinistral"
"12","554","472","180","28","152","Dextral"
"13","571","431","133","25","137","Dextral"
"14","357","427","192","28","130","Dextral"
"15","813","355","167","27","224","Sinistral"
"16","697","323","109","24","28","Sinistral"
"17","813","296","116","24","337","Sinistral"
"18","423","223","162","27","125","Sinistral"
"19","90","151","124","25","291","Dextral"
"20","392","111","144","26","147","Sinistral"
