"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","356","907","148","26","230","Dextral"
"2","136","902","125","25","296","Sinistral"
"3","927","899","137","25","340","Dextral"
"4","883","861","141","26","38","Dextral"
"5","54","812","126","25","302","Dextral"
"6","112","772","172","27","77","Sinistral"
"7","697","752","87","22","144","Dextral"
"8","459","720","110","24","97","Dextral"
"9","724","670","171","27","188","Dextral"
"10","261","565","163","27","294","Sinistral"
"11","511","519","233","29","169","Sinistral"
"12","658","436","94","23","159","Sinistral"
"13","810","394","192","28","329","Sinistral"
"14","322","307","156","26","330","Sinistral"
"15","640","221","131","25","313","Dextral"
"16","323","208","128","25","294","Sinistral"
"17","162","187","168","27","82","Dextral"
"18","526","162","125","25","57","Dextral"
"19","236","126","179","27","78","Sinistral"
"20","314","71","124","25","289","Sinistral"
