"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","331","906","210","29","316","Dextral"
"2","130","849","133","25","49","Sinistral"
"3","107","738","125","25","44","Dextral"
"4","520","670","166","27","327","Dextral"
"5","441","631","130","25","359","Sinistral"
"6","696","605","127","25","168","Dextral"
"7","178","495","95","23","32","Dextral"
"8","75","460","118","24","283","Sinistral"
"9","856","455","122","25","125","Sinistral"
"10","753","364","96","23","190","Dextral"
"11","751","340","174","27","46","Sinistral"
"12","70","338","132","25","41","Sinistral"
"13","850","323","134","25","143","Dextral"
"14","187","315","200","28","109","Dextral"
"15","149","297","134","25","299","Sinistral"
"16","170","268","155","26","160","Dextral"
"17","796","170","121","24","232","Dextral"
"18","614","151","98","23","126","Dextral"
"19","567","42","109","24","291","Dextral"
"20","82","39","126","25","257","Dextral"
