"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","620","935","111","24","136","Dextral"
"2","409","836","227","29","80","Sinistral"
"3","132","828","198","28","243","Sinistral"
"4","514","725","203","28","102","Sinistral"
"5","432","694","256","30","239","Sinistral"
"6","763","692","35","15","24","Dextral"
"7","878","683","131","25","152","Sinistral"
"8","134","420","159","27","1","Sinistral"
"9","585","410","179","27","253","Dextral"
"10","298","374","85","22","67","Dextral"
"11","382","330","127","25","326","Sinistral"
"12","598","329","111","24","342","Dextral"
"13","775","292","30","14","125","Sinistral"
"14","337","284","63","20","342","Sinistral"
"15","301","273","68","20","143","Dextral"
"16","351","217","84","22","3","Sinistral"
"17","607","207","154","26","222","Sinistral"
"18","129","203","157","26","27","Dextral"
"19","106","89","92","22","7","Sinistral"
"20","257","82","214","29","354","Dextral"
