"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","33","942","136","25","299","Dextral"
"2","837","931","122","25","274","Sinistral"
"3","99","919","54","18","105","Sinistral"
"4","724","770","200","28","212","Sinistral"
"5","79","770","132","25","318","Dextral"
"6","81","635","77","21","84","Sinistral"
"7","891","466","102","23","275","Sinistral"
"8","438","465","146","26","301","Dextral"
"9","278","409","133","25","127","Dextral"
"10","882","392","149","26","54","Dextral"
"11","349","366","168","27","204","Sinistral"
"12","613","316","176","27","345","Sinistral"
"13","603","310","72","20","15","Sinistral"
"14","695","256","225","29","172","Dextral"
"15","904","229","186","28","99","Sinistral"
"16","589","177","99","23","148","Sinistral"
"17","747","141","86","22","134","Dextral"
"18","706","136","97","23","316","Dextral"
"19","918","81","135","25","16","Dextral"
"20","543","80","107","23","223","Dextral"
