"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","127","926","157","26","140","Sinistral"
"2","410","861","95","23","35","Dextral"
"3","291","816","74","21","306","Dextral"
"4","104","811","107","24","131","Sinistral"
"5","271","811","95","23","231","Dextral"
"6","263","706","71","20","93","Sinistral"
"7","569","701","82","21","220","Dextral"
"8","595","682","211","29","280","Sinistral"
"9","70","681","132","25","33","Sinistral"
"10","407","570","168","27","225","Dextral"
"11","552","569","25","12","157","Dextral"
"12","514","567","157","26","201","Sinistral"
"13","329","561","154","26","266","Dextral"
"14","743","471","52","18","154","Dextral"
"15","839","383","36","15","87","Sinistral"
"16","436","331","121","24","8","Dextral"
"17","755","277","156","26","103","Sinistral"
"18","858","223","161","27","81","Dextral"
"19","772","170","38","16","138","Sinistral"
"20","249","128","153","26","223","Dextral"
