"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","638","903","179","27","32","Dextral"
"2","819","872","172","27","19","Sinistral"
"3","782","817","108","24","160","Sinistral"
"4","571","790","199","28","56","Dextral"
"5","894","726","166","27","269","Dextral"
"6","115","717","130","25","55","Dextral"
"7","631","703","92","22","308","Sinistral"
"8","153","666","154","26","74","Dextral"
"9","167","597","58","19","231","Dextral"
"10","607","594","202","28","233","Sinistral"
"11","158","588","130","25","319","Sinistral"
"12","558","521","127","25","183","Dextral"
"13","725","512","162","27","297","Dextral"
"14","41","360","170","27","129","Sinistral"
"15","547","247","113","24","305","Dextral"
"16","652","238","153","26","125","Dextral"
"17","278","196","167","27","249","Dextral"
"18","628","84","130","25","349","Dextral"
"19","850","70","67","20","147","Dextral"
"20","778","58","106","23","299","Sinistral"
