"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","528","943","148","26","141","Sinistral"
"2","922","917","131","25","345","Sinistral"
"3","625","895","157","26","314","Sinistral"
"4","613","808","130","25","29","Dextral"
"5","353","628","114","24","145","Sinistral"
"6","471","627","135","25","62","Dextral"
"7","537","605","175","27","357","Dextral"
"8","428","564","155","26","172","Sinistral"
"9","611","448","135","25","218","Dextral"
"10","930","431","172","27","204","Sinistral"
"11","421","424","106","23","63","Dextral"
"12","789","316","123","25","122","Dextral"
"13","437","294","35","15","263","Dextral"
"14","698","279","108","24","310","Dextral"
"15","664","245","139","26","6","Sinistral"
"16","886","237","175","27","253","Sinistral"
"17","422","169","130","25","284","Dextral"
"18","940","99","91","22","55","Sinistral"
"19","268","96","146","26","192","Sinistral"
"20","406","28","122","25","112","Sinistral"
