"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","144","916","99","23","58","Sinistral"
"2","369","865","191","28","135","Sinistral"
"3","451","861","157","26","234","Sinistral"
"4","285","741","235","30","168","Dextral"
"5","257","725","167","27","238","Dextral"
"6","668","652","137","25","301","Dextral"
"7","647","641","141","26","286","Sinistral"
"8","388","634","22","12","82","Dextral"
"9","617","615","182","28","184","Dextral"
"10","708","569","125","25","231","Dextral"
"11","756","505","37","15","317","Sinistral"
"12","812","481","141","26","198","Sinistral"
"13","622","455","29","14","83","Sinistral"
"14","948","360","121","24","238","Dextral"
"15","899","357","133","25","155","Dextral"
"16","388","292","94","22","280","Dextral"
"17","534","190","107","24","227","Dextral"
"18","452","137","136","25","214","Dextral"
"19","540","122","27","13","60","Sinistral"
"20","68","39","150","26","286","Dextral"
