"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","641","942","112","24","323","Dextral"
"2","900","940","72","21","216","Sinistral"
"3","881","933","107","24","81","Dextral"
"4","434","865","211","29","198","Sinistral"
"5","92","843","158","27","111","Sinistral"
"6","180","827","122","25","100","Dextral"
"7","462","817","76","21","82","Dextral"
"8","373","725","129","25","212","Dextral"
"9","460","641","222","29","107","Dextral"
"10","130","627","91","22","28","Sinistral"
"11","544","574","171","27","192","Sinistral"
"12","98","540","151","26","213","Sinistral"
"13","98","465","167","27","67","Sinistral"
"14","114","431","112","24","344","Dextral"
"15","375","428","87","22","307","Dextral"
"16","517","368","135","25","281","Dextral"
"17","759","362","170","27","323","Dextral"
"18","601","221","134","25","67","Dextral"
"19","102","67","113","24","292","Sinistral"
"20","743","32","125","25","198","Dextral"
