"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","116","834","131","25","11","Dextral"
"2","610","822","120","24","60","Sinistral"
"3","424","794","115","24","119","Sinistral"
"4","461","655","108","24","309","Sinistral"
"5","647","653","145","26","267","Dextral"
"6","589","634","169","27","355","Dextral"
"7","161","577","113","24","199","Sinistral"
"8","819","560","63","20","222","Sinistral"
"9","94","547","122","24","69","Sinistral"
"10","854","499","100","23","327","Sinistral"
"11","155","330","91","22","205","Sinistral"
"12","254","324","162","27","159","Sinistral"
"13","654","301","105","23","74","Sinistral"
"14","315","285","175","27","186","Sinistral"
"15","635","263","131","25","232","Dextral"
"16","470","189","183","28","117","Dextral"
"17","478","149","198","28","335","Sinistral"
"18","45","137","119","24","118","Dextral"
"19","393","136","177","27","232","Dextral"
"20","584","69","171","27","152","Dextral"
