"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","664","916","127","25","48","Dextral"
"2","226","867","173","27","352","Sinistral"
"3","810","846","208","29","68","Dextral"
"4","835","804","138","25","311","Dextral"
"5","84","802","61","19","9","Dextral"
"6","536","742","136","25","220","Sinistral"
"7","383","728","123","25","201","Sinistral"
"8","909","685","92","22","200","Dextral"
"9","338","666","105","23","328","Dextral"
"10","558","642","67","20","274","Sinistral"
"11","832","635","119","24","14","Dextral"
"12","79","574","137","25","7","Sinistral"
"13","723","493","117","24","112","Dextral"
"14","612","213","42","16","172","Sinistral"
"15","30","166","77","21","127","Sinistral"
"16","103","134","191","28","221","Sinistral"
"17","571","70","128","25","255","Dextral"
"18","442","39","145","26","100","Sinistral"
"19","273","39","125","25","275","Dextral"
"20","195","25","135","25","40","Sinistral"
