"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","558","950","152","26","267","Sinistral"
"2","900","930","53","18","169","Dextral"
"3","56","892","101","23","14","Dextral"
"4","741","856","136","25","279","Dextral"
"5","502","840","127","25","349","Sinistral"
"6","899","809","136","25","256","Sinistral"
"7","807","775","122","24","59","Sinistral"
"8","498","660","118","24","64","Sinistral"
"9","615","656","101","23","130","Sinistral"
"10","539","611","194","28","274","Dextral"
"11","646","586","205","28","119","Dextral"
"12","157","522","66","20","156","Sinistral"
"13","638","468","99","23","88","Dextral"
"14","850","438","112","24","279","Sinistral"
"15","761","390","37","15","12","Sinistral"
"16","313","358","145","26","258","Sinistral"
"17","554","305","206","29","315","Sinistral"
"18","891","302","107","23","149","Sinistral"
"19","103","136","168","27","108","Sinistral"
"20","454","56","113","24","359","Sinistral"
