"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","477","943","116","24","128","Sinistral"
"2","622","934","194","28","258","Dextral"
"3","401","887","72","21","141","Dextral"
"4","214","820","128","25","174","Sinistral"
"5","774","735","96","23","328","Dextral"
"6","261","634","242","30","246","Dextral"
"7","526","615","182","28","331","Sinistral"
"8","438","602","161","27","327","Dextral"
"9","141","523","115","24","131","Sinistral"
"10","663","452","150","26","38","Sinistral"
"11","480","430","139","26","293","Dextral"
"12","648","384","176","27","61","Dextral"
"13","903","384","237","30","26","Dextral"
"14","628","303","141","26","11","Sinistral"
"15","884","274","105","23","99","Dextral"
"16","527","272","119","24","115","Sinistral"
"17","850","270","62","19","198","Sinistral"
"18","762","258","154","26","282","Sinistral"
"19","437","253","169","27","161","Sinistral"
"20","233","169","220","29","26","Sinistral"
