"Quadrat","Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"A1",1,919,897,122,25,131,"Dextral"
"A1",2,46,886,102,23,266,"Sinistral"
"A1",3,321,882,120,24,353,"Sinistral"
"A1",4,363,833,89,22,46,"Sinistral"
"A1",5,772,829,57,19,94,"Dextral"
"A1",6,124,732,149,26,20,"Sinistral"
"A1",7,726,716,87,22,77,"Sinistral"
"A1",8,109,523,127,25,248,"Sinistral"
"A1",9,532,516,191,28,217,"Dextral"
"A1",10,789,454,157,26,33,"Dextral"
"A1",11,934,350,165,27,188,"Dextral"
"A1",12,410,310,78,21,16,"Sinistral"
"A1",13,595,307,48,17,32,"Dextral"
"A1",14,305,268,132,25,17,"Sinistral"
"A1",15,248,231,182,28,102,"Dextral"
"A1",16,724,228,145,26,63,"Sinistral"
"A1",17,688,219,77,21,342,"Dextral"
"A1",18,755,172,205,28,203,"Sinistral"
"A1",19,87,84,210,29,212,"Sinistral"
"A1",20,680,33,118,24,211,"Sinistral"
"A10",1,41,919,64,20,17,"Sinistral"
"A10",2,743,856,114,24,33,"Sinistral"
"A10",3,630,817,154,26,259,"Sinistral"
"A10",4,785,792,58,19,156,"Dextral"
"A10",5,522,774,141,26,142,"Dextral"
"A10",6,673,743,170,27,31,"Sinistral"
"A10",7,187,741,86,22,84,"Sinistral"
"A10",8,122,728,151,26,297,"Sinistral"
"A10",9,912,547,182,28,51,"Dextral"
"A10",10,496,480,77,21,187,"Dextral"
"A10",11,99,458,134,25,6,"Dextral"
"A10",12,852,441,152,26,329,"Sinistral"
"A10",13,47,440,163,27,11,"Dextral"
"A10",14,372,421,159,27,269,"Sinistral"
"A10",15,626,349,115,24,52,"Dextral"
"A10",16,117,314,205,28,218,"Sinistral"
"A10",17,123,261,110,24,188,"Sinistral"
"A10",18,152,200,207,29,71,"Sinistral"
"A10",19,161,120,163,27,117,"Dextral"
"A10",20,785,63,154,26,40,"Sinistral"
"A2",1,380,935,98,23,206,"Sinistral"
"A2",2,330,855,107,24,71,"Dextral"
"A2",3,841,840,169,27,33,"Sinistral"
"A2",4,57,828,104,23,61,"Dextral"
"A2",5,459,817,154,26,240,"Sinistral"
"A2",6,121,770,185,28,323,"Dextral"
"A2",7,357,660,140,26,267,"Sinistral"
"A2",8,559,643,101,23,245,"Dextral"
"A2",9,133,532,74,21,111,"Sinistral"
"A2",10,839,514,130,25,132,"Sinistral"
"A2",11,567,481,99,23,22,"Sinistral"
"A2",12,474,451,166,27,228,"Dextral"
"A2",13,414,426,150,26,15,"Sinistral"
"A2",14,414,411,140,26,192,"Sinistral"
"A2",15,39,359,143,26,328,"Sinistral"
"A2",16,392,311,167,27,337,"Dextral"
"A2",17,863,288,162,27,259,"Sinistral"
"A2",18,939,214,88,22,80,"Sinistral"
"A2",19,352,178,100,23,287,"Dextral"
"A2",20,753,40,124,25,3,"Sinistral"
"A3",1,308,946,54,18,349,"Sinistral"
"A3",2,215,922,143,26,77,"Sinistral"
"A3",3,531,804,179,27,277,"Dextral"
"A3",4,83,712,164,27,273,"Sinistral"
"A3",5,241,709,68,20,353,"Dextral"
"A3",6,213,674,134,25,174,"Sinistral"
"A3",7,177,664,178,27,130,"Sinistral"
"A3",8,813,657,157,26,341,"Sinistral"
"A3",9,693,636,89,22,350,"Sinistral"
"A3",10,453,615,128,25,261,"Sinistral"
"A3",11,420,463,108,24,318,"Dextral"
"A3",12,812,456,100,23,249,"Dextral"
"A3",13,147,453,69,20,205,"Dextral"
"A3",14,63,412,112,24,93,"Sinistral"
"A3",15,601,234,162,27,140,"Sinistral"
"A3",16,113,180,133,25,211,"Dextral"
"A3",17,897,157,86,22,119,"Dextral"
"A3",18,689,143,208,29,269,"Dextral"
"A3",19,506,117,91,22,295,"Sinistral"
"A3",20,879,34,130,25,30,"Sinistral"
"A4",1,448,939,196,28,214,"Sinistral"
"A4",2,49,889,76,21,119,"Sinistral"
"A4",3,561,873,89,22,33,"Dextral"
"A4",4,687,871,141,26,190,"Dextral"
"A4",5,505,770,78,21,344,"Dextral"
"A4",6,463,672,67,20,139,"Dextral"
"A4",7,176,606,144,26,21,"Dextral"
"A4",8,269,516,85,22,64,"Dextral"
"A4",9,264,495,110,24,154,"Sinistral"
"A4",10,88,483,88,22,133,"Dextral"
"A4",11,498,476,91,22,310,"Sinistral"
"A4",12,437,454,131,25,74,"Dextral"
"A4",13,860,442,44,17,256,"Dextral"
