"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","534","945","104","23","141","Dextral"
"2","176","923","169","27","330","Dextral"
"3","649","834","110","24","33","Sinistral"
"4","838","820","118","24","49","Sinistral"
"5","802","795","118","24","192","Sinistral"
"6","302","792","147","26","201","Dextral"
"7","91","791","117","24","113","Sinistral"
"8","92","726","133","25","353","Dextral"
"9","214","635","130","25","54","Sinistral"
"10","643","633","121","24","130","Sinistral"
"11","282","405","135","25","242","Dextral"
"12","51","394","174","27","220","Sinistral"
"13","78","369","23","12","241","Sinistral"
"14","506","290","115","24","149","Dextral"
"15","737","264","137","25","213","Dextral"
"16","918","160","177","27","184","Sinistral"
"17","171","141","203","28","268","Sinistral"
"18","915","126","59","19","235","Sinistral"
"19","590","102","27","13","358","Sinistral"
"20","743","54","75","21","121","Sinistral"
