"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","701","902","147","26","301","Dextral"
"2","103","877","103","23","171","Sinistral"
"3","443","705","124","25","180","Sinistral"
"4","288","644","177","27","290","Dextral"
"5","439","641","110","24","144","Sinistral"
"6","569","580","148","26","22","Dextral"
"7","565","548","150","26","341","Dextral"
"8","56","493","114","24","308","Sinistral"
"9","747","432","148","26","162","Dextral"
"10","251","412","124","25","208","Sinistral"
"11","373","411","83","22","41","Sinistral"
"12","224","353","110","24","189","Sinistral"
"13","678","306","93","22","196","Dextral"
"14","319","208","110","24","245","Sinistral"
"15","798","182","104","23","136","Dextral"
"16","543","178","162","27","282","Dextral"
"17","368","177","134","25","68","Dextral"
"18","281","173","141","26","227","Dextral"
"19","411","123","162","27","56","Dextral"
"20","360","38","127","25","358","Sinistral"
