"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","907","941","85","22","34","Dextral"
"2","397","933","214","29","262","Sinistral"
"3","393","823","200","28","169","Dextral"
"4","515","806","121","24","46","Sinistral"
"5","206","732","32","14","160","Sinistral"
"6","274","647","73","21","255","Dextral"
"7","346","620","110","24","121","Dextral"
"8","773","617","149","26","46","Dextral"
"9","933","536","137","25","340","Dextral"
"10","928","472","146","26","78","Dextral"
"11","506","462","133","25","152","Dextral"
"12","354","363","63","19","175","Sinistral"
"13","437","345","112","24","160","Sinistral"
"14","44","276","94","23","24","Dextral"
"15","106","263","205","28","117","Dextral"
"16","117","220","96","23","24","Dextral"
"17","154","219","272","30","317","Sinistral"
"18","395","186","147","26","174","Sinistral"
"19","750","184","34","15","252","Dextral"
"20","157","104","137","25","99","Sinistral"
