"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","538","940","36","15","45","Dextral"
"2","915","936","168","27","2","Dextral"
"3","143","776","146","26","303","Sinistral"
"4","749","755","122","24","118","Dextral"
"5","593","715","76","21","212","Sinistral"
"6","768","704","134","25","323","Dextral"
"7","893","703","131","25","143","Dextral"
"8","364","533","223","29","78","Dextral"
"9","567","518","208","29","180","Sinistral"
"10","910","511","143","26","321","Sinistral"
"11","124","451","50","18","72","Dextral"
"12","501","423","159","27","198","Sinistral"
"13","274","392","112","24","320","Dextral"
"14","92","253","129","25","145","Dextral"
"15","370","213","211","29","57","Dextral"
"16","124","166","194","28","211","Dextral"
"17","385","153","169","27","354","Sinistral"
"18","824","126","126","25","116","Sinistral"
"19","194","85","162","27","181","Sinistral"
"20","234","27","167","27","181","Sinistral"
