"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","158","919","120","24","337","Dextral"
"2","344","848","161","27","282","Dextral"
"3","521","767","141","26","22","Dextral"
"4","542","758","114","24","337","Sinistral"
"5","183","661","257","30","106","Sinistral"
"6","666","609","136","25","102","Sinistral"
"7","716","606","207","29","150","Dextral"
"8","386","530","144","26","354","Dextral"
"9","936","430","109","24","237","Sinistral"
"10","357","405","134","25","115","Sinistral"
"11","500","384","155","26","221","Sinistral"
"12","243","334","125","25","22","Dextral"
"13","500","310","159","27","167","Sinistral"
"14","42","255","207","29","307","Dextral"
"15","285","250","107","24","54","Dextral"
"16","510","237","158","26","143","Dextral"
"17","269","204","129","25","221","Dextral"
"18","274","197","124","25","297","Sinistral"
"19","612","183","124","25","32","Dextral"
"20","249","82","80","21","298","Dextral"
