"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","212","931","37","15","108","Dextral"
"2","59","919","125","25","214","Sinistral"
"3","203","897","187","28","344","Dextral"
"4","63","896","203","28","292","Dextral"
"5","146","890","178","27","96","Sinistral"
"6","529","886","170","27","348","Sinistral"
"7","133","725","173","27","271","Dextral"
"8","640","691","143","26","311","Sinistral"
"9","714","689","59","19","230","Sinistral"
"10","334","605","117","24","1","Sinistral"
"11","404","569","92","22","355","Dextral"
"12","122","561","123","25","117","Dextral"
"13","220","453","158","26","345","Dextral"
"14","722","416","164","27","135","Dextral"
"15","649","387","212","29","321","Sinistral"
"16","148","323","138","25","27","Dextral"
"17","496","318","200","28","72","Dextral"
"18","768","283","117","24","123","Sinistral"
"19","434","274","112","24","175","Dextral"
"20","510","197","201","28","34","Dextral"
