"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","263","914","121","24","185","Sinistral"
"2","773","887","183","28","350","Sinistral"
"3","503","765","188","28","104","Dextral"
"4","409","749","117","24","79","Sinistral"
"5","853","667","95","23","99","Sinistral"
"6","932","657","96","23","220","Sinistral"
"7","235","656","113","24","138","Sinistral"
"8","335","485","99","23","88","Dextral"
"9","98","440","132","25","201","Dextral"
"10","846","429","113","24","82","Dextral"
"11","391","415","169","27","312","Sinistral"
"12","341","403","200","28","209","Dextral"
"13","749","355","107","24","112","Sinistral"
"14","354","221","112","24","277","Sinistral"
"15","772","170","108","24","78","Sinistral"
"16","534","164","147","26","190","Sinistral"
"17","652","161","92","22","211","Sinistral"
"18","450","155","144","26","234","Dextral"
"19","383","77","126","25","42","Dextral"
"20","544","71","131","25","208","Sinistral"
