"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","325","946","140","26","119","Sinistral"
"2","266","772","150","26","119","Sinistral"
"3","650","719","163","27","72","Sinistral"
"4","898","636","149","26","223","Dextral"
"5","764","634","126","25","132","Sinistral"
"6","840","619","101","23","35","Dextral"
"7","547","615","124","25","104","Dextral"
"8","703","591","115","24","206","Sinistral"
"9","206","584","107","23","154","Sinistral"
"10","35","571","158","26","54","Dextral"
"11","646","563","169","27","31","Sinistral"
"12","584","406","156","26","40","Dextral"
"13","534","402","89","22","262","Dextral"
"14","913","376","144","26","243","Sinistral"
"15","913","269","83","22","226","Sinistral"
"16","284","243","85","22","167","Dextral"
"17","168","221","134","25","238","Sinistral"
"18","617","188","120","24","251","Dextral"
"19","431","146","215","29","245","Dextral"
"20","581","71","109","24","149","Sinistral"
